회사명,공장대표주소,업종명,생산품
이트로아트,"서울특별시 성동구 연무장17길 3, 5층 503 (성수동2가, (주)삼우 아파트형공장)",기타 인쇄업 외 1 종,인쇄물
이트로아트,"서울특별시 성동구 연무장17길 3, 5층 503 (성수동2가, (주)삼우 아파트형공장)",기타 인쇄업 외 1 종,인쇄물
이화공업사,서울특별시 성동구 마장로40길 5-7 (마장동),금속 가구 제조업,보르네오 가구부품
이화섬유,"서울특별시 성동구 성수일로11길 12 (성수동1가, 나동)",편조원단 제조업,자동차시트원단
이화셈풀,"서울특별시 성동구 연무장길 103, 지하1층 (성수동2가)",솜 및 실 염색가공업,의류부자재
인성사,"서울특별시 성동구 성수이로 144-29, 104호 (성수동2가)",기타 인쇄업 외 1 종,"출판물,카다로그,상업용전단"
인성프린팅,"서울특별시 성동구 성수이로 144-29, 제일인쇄조합빌딩 1층 104호 (성수동2가)",경 인쇄업 외 1 종,인쇄
인애,"서울특별시 성동구 금호로 86 (금호동1가, "")",편조의복 제조업,쉐타
인창정밀,서울특별시 성동구 둘레7가길 16 (성수동1가),볼트 및 너트류 제조업 외 2 종,파스너
인코어테크놀로지 주식회사,"서울특별시 성동구 성수이로 68, 0동 3층 0 (성수동2가)",그 외 기타 전자부품 제조업 외 4 종,전자카드
인터마그 주식회사,"서울특별시 성동구 왕십리로 222, 퓨전테크센터(FTC) 802호(사근동, 한양대학교)",그 외 기타 의료용 기기 제조업,자기구동형 의료로붓시스템(RAMAN System)
일성포장산업,"서울특별시 성동구 성수일로 44 (성수동2가, .)",식품 위생용 종이 상자 및 용기 제조업,"박스,포장"
일신기업,서울특별시 성동구 성수이로22길 54 (성수동2가),"탭, 밸브 및 유사장치 제조업",파이프가공
일신문화,"서울특별시 성동구 상원10길 26 (성수동1가, 삼립인쇄)",기타 인쇄업 외 1 종,인쇄
일영정보,서울특별시 성동구 자동차시장1길 24-1 (용답동),기기용 자동측정 및 제어장치 제조업 외 3 종,통신기기제조
일조산업,서울특별시 성동구 광나루로 290 (성수동2가),침구 및 관련제품 제조업 외 1 종,"커튼,블라인드,스크린,침구류"
일진,서울특별시 성동구 아차산로 163 (성수동2가),섬유제품 기타 정리 및 마무리 가공업 외 1 종,자수염색 및 가공
일진정밀공업,"서울특별시 성동구 아차산로13길 33 (성수동2가, 협성상사)",볼트 및 너트류 제조업 외 5 종,배연창체인
임광전기(주),서울특별시 성동구 무학로8길 35 (홍익동),배전반 및 전기 자동제어반 제조업,배전반
임뮤노씽크,"서울특별시 성동구 뚝섬로1길 25, 8층 801 (성수동1가)",의료용품 및 기타 의약 관련제품 제조업,체외진단용 의료기기
