시설명,동구분,주소,위도,경도,생산품,업종명,데이터기준일
함양기계,쌍문동,도봉구 도봉로123길 39-7 (쌍문동),37.65295,127.03467,밴딩기 제작,금속 성형기계 제조업,2018-01-01
혜성섬유,창동,도봉구 덕릉로59길 73-26 (창동),37.64079,127.03461,양말,스타킹 및 기타양말 제조업,2018-01-01
호영사,방학동,"도봉구 방학로 110,  3층 (방학동)",37.663,127.04009,"츄리닝, 체육복",셔츠 및 체육복 제조업,2018-01-01
(사)장애인녹색일자리사랑회 창호사업단,쌍문동,도봉구 우이천로38마길 26 (쌍문동),37.65382,127.02318,"창호,발코니,금속구조물,제조업","금속 문, 창, 셔터 및 관련제품 제조업",2018-01-01
(주)동서에이보이,도봉동,도봉구 도봉로159길 11-16 (도봉동),37.67394,127.04304,기타,"방송수신기및기타영상,음향기기제조업",2018-01-01
(주)랑셀,방학동,"도봉구 도당로 76, 401호 왼쪽 사무실 (방학동)",37.66458,127.03593,"의류, 가방",남자용 정장 제조업 외 19 종,2018-01-01
(주)삼원파워텍,창동,"도봉구 우이천로4다길 18, 2층 (창동)",37.63472,127.04091,"자동차부품,LED조명",운송장비용 조명장치 제조업,2018-01-01
(주)쓰리알,방학동,도봉구 도봉로 700 (방학동),37.66684,127.04346,여과기 외,기체 여과기 제조업 외 1 종,2018-01-01
(주)씨에스티씨,창동,도봉구 도봉로106길 38-5 (창동),37.64438,127.03507,"비상통신시스템,디지털녹취장치,IP동시동",유선 통신장비 제조업 외 2 종,2018-01-01
(주)우성정공,창동,도봉구 도봉로106길 62 (창동),37.64444,127.03614,가스용품호스,속도계 및 적산계기 제조업,2018-01-01
선명섬유,방학동,도봉구 도봉로145길 55 (방학동),37.66449,127.03942,니트의류,셔츠 및 체육복 제조업 외 2 종,2018-01-01
성주개발(주),창동,도봉구 도봉로110라길 69-6 (창동),37.64287,127.03662,원단,편조원단 제조업,2018-01-01
세방섬유,창동,"도봉구 덕릉로57길 47,  2층 (창동)",37.64021,127.03609,양말,스타킹 및 기타양말 제조업,2018-01-01
세신섬유,방학2동,"도봉구 시루봉로23길 1 (방학동, 삼원수출포장)",37.67093,127.03954,양말,스타킹 및 기타양말 제조업,2018-01-01
세일정공,창동,"도봉구 덕릉로63가길 42,  지하1층 (창동)",37.64322,127.03805,금형제작,주형 및 금형 제조업,2018-01-01
스포츠경마출판인쇄소,쌍문동,도봉구 삼양로 548 (쌍문동),37.65201,127.01284,출판인쇄물,기타 인쇄물 출판업,2018-01-01
승진산업사,창3동,도봉구 우이천로4라길 11 (창동),37.63349,127.04165,바인더제작,문구용 종이제품 제조업,2018-01-01
신안섬유,창동,"도봉구 덕릉로63길 75,  지하1층 (창동)",37.6447,127.04018,양말,스타킹 및 기타양말 제조업,2018-01-01
쌍용섬유,창동,"도봉구 덕릉로63길 19,  지하1층 (창동)",37.6422,127.04032,양말,스타킹 및 기타양말 제조업,2018-01-01
아이비원,창동,도봉구 도봉로110길 82 (창동),37.64624,127.03809,양말,스타킹 및 기타양말 제조업,2018-01-01
에스에이치정보통신,방학동,"도봉구 방학로 31, 2층 (방학동)",37.66202,127.04895,CCTV 주변기기,방송장비 제조업 외 3 종,2018-01-01
영덕섬유,방학동,도봉구 방학로2길 76 (방학동),37.66631,127.04103,양말,스타킹 및 기타양말 제조업,2018-01-01
영신NS,창동,도봉구 도봉로110라길 70-17 (창동),37.64239,127.03541,양말,스타킹 및 기타양말 제조업,2018-01-01
영어패럴,창동,도봉구 도봉로 602 (창동),37.65811,127.04072,봉제의복,그외 기타 봉제의복 제조업,2018-01-01
영원자동차공업사(주),창동,"도봉구 도봉로136길 49 (창동, 영원보링)",37.65963,127.04409,특장차부품,차체 및 특장차 제조업,2018-01-01
영일섬유,방학동,도봉구 도당로15길 51 (방학동),37.66735,127.03508,양말,스타킹 및 기타양말 제조업,2018-01-01
영진섬유,쌍문동,도봉구 쌍문동,37.65528,127.03699,양말,기타편조제품제조업,2018-01-01
영푸드케터링,창동,도봉구 노해로63가길 10 (창동),37.65306,127.04522,기타,도시락 및 식사용 조리식품 제조업,2018-01-01
용마섬유,창동,도봉구 도봉로106길 42 (창동),37.64462,127.03502,양말,스타킹 및 기타양말 제조업,2018-01-01
용신양말(주),창2동,도봉구 창동,37.64317,127.0349,양말,스타킹 및 기타양말 제조업,2018-01-01
용진섬유,방학동,"도봉구 방학로10길 57,  지하 (방학동)",37.66461,127.03427,양말편조,스타킹 및 기타양말 제조업,2018-01-01
우성양말,방학동,도봉구 시루봉로 221-8 (방학동),37.6686,127.03442,양말,스타킹 및 기타양말 제조업,2018-01-01
우신,창동,도봉구 도봉로110나길 13 (창동),37.64678,127.03449,양말편조,스타킹 및 기타양말 제조업,2018-01-01
근영섬유,쌍문동,도봉구 우이천로 370 (쌍문동),37.64878,127.02353,양말편조,스타킹 및 기타양말 제조업,2018-01-01
나눔,방학동,"도봉구 도당로 76, 401호(오른쪽 사무실) (방학동)",37.66458,127.03593,"의류, 가방",남자용 정장 제조업 외 16 종,2018-01-01
대신섬유,방학동,도봉구 도당로15길 48 (방학동),37.66736,127.03541,양말,스타킹 및 기타양말 제조업,2018-01-01
대우편직,방학동,"도봉구 방학로 200-20 (방학동, A동)",37.66265,127.02883,염색전원단(편직),편조원단 제조업,2018-01-01
동아전장(주),창동,도봉구 덕릉로59라길 50 (창동),37.64283,127.03993,"자동차부품,전자부품",그외 기타 전자부품 제조업,2018-01-01
디르사,쌍문동,도봉구 도봉로129길 45-13 (쌍문동),37.65474,127.03581,스웨터,편조의복 제조업,2018-01-01
러블리하트코리아,쌍문동,"도봉구 노해로 217,  HS빌딩 1층,B01 (쌍문동)",37.65125,127.0324,"핸드백,지갑",핸드백 및 지갑 제조업,2018-01-01
엠엔케이코리아,쌍문동,"도봉구 도당로2길 46-4, 지층 (쌍문동)",37.65922,127.03754,패션잡화,핸드백 및 지갑 제조업 외 2 종,2018-01-01
엠엠에스주식회사,창동,"도봉구 우이천로 228,  2층 (창동)",37.63961,127.03443,침구류,침구 및 관련제품 제조업,2018-01-01
(주)랑셀,방학동,"도봉구 도당로 76, 지층3-1호 (방학동)",37.66458,127.03593,스타킹및기타양말,스타킹 및 기타양말 제조업,2018-01-01
(주)예향패션,방학동,"도봉구 도당로13길 29-14, 지층 (방학동, 방학2동우편취급소)",37.66558,127.03412,남.여의류,"근무복, 작업복 및 유사의복 제조업 외 22 종",2018-01-01
다빈치제화,창동,도봉구 도봉로110라길 70-4 (창동),37.64297,127.03596,"제화,숙녀화",기타 신발 제조업 외 1 종,2018-01-01
삼한섬유,방학동,"도봉구 도봉로 667, 3층 (방학동)",37.664,127.04228,의류,침구 및 관련제품 제조업 외 12 종,2018-01-01
선유,방학동,도봉구 도당로 66 (방학동),37.66382,127.03505,"의류,잡화 견장",남자용 정장 제조업 외 22 종,2018-01-01
엔티유시스템,방학동,"도봉구 도당로 55, 2층 (방학동)",37.6631,127.03442,방송장비 제조,방송장비 제조업 외 5 종,2018-01-01
엘에이치컴퍼니,쌍문동,"도봉구 노해로 217, B01호 (쌍문동, 쌍문동 H.S 빌딩)",37.65125,127.0324,"핸드백,지갑,폰케이스,패션잡화",가방 및 기타 보호용 케이스 제조업 외 1 종,2018-01-01
주식회사 아가페패션,방학동,"도봉구 도당로 76, 402호 (방학동)",37.66458,127.03593,"의류,가방",침구 및 관련제품 제조업 외 29 종,2018-01-01
주식회사 에이치앤케이 인터내셔널,쌍문동,"도봉구 우이천로34길 10, 2층 (쌍문동)",37.64933,127.0233,남성정장,남자용 정장 제조업 외 4 종,2018-01-01
주식회사 엘림패션,방학동,"도봉구 도당로 89, 2층 (방학동)",37.66557,127.03679,"의류,가방",침구 및 관련제품 제조업 외 27 종,2018-01-01
가람섬유,방학동,"도봉구 도봉로 667, 대현빌딩 4층 (방학동)",37.664,127.04228,"티셔츠,생활복,운동복",셔츠 및 체육복 제조업 외 1 종,2018-01-01
다미인,창동,"도봉구 덕릉로59가길 9, 2층 (창동)",37.64,127.03858,의료기기(석션고주파),그외 기타 의료용 기기 제조업,2018-01-01
삼안기획,창동,"도봉구 도봉로136다길 26-1, 1,2층 (창동)",37.66045,127.04279,간판 및 광고물,간판 및 광고물 제조업 외 3 종,2018-01-01
