순번,회사명,대표자명,생산품,공장대표주소(도로명),업종명
321,(주)화일특수산업,허은자,"자동화기기, 도금","서울특별시 영등포구 선유로 176, 수화기업사 33,34호 (양평동3가)","도금, 착색 및 기타 표면처리강재 제조업"
322,(주)휴텀,김태호,"전자제품 조립, 플라스틱 반제품","서울특별시 영등포구 가마산로46길 6, 301호 (대림동, 한양빌딩)",그 외 기타 전자부품 제조업 외 1 종
323,(주)희경플랜,"이희영,박경수",안내표지판,"서울특별시 영등포구 선유서로24길 1, 107호 (양평동1가)",간판 및 광고물 제조업
324,(주)히스코센서,이준성,"계측기센서, 압력, 온도 및 레벨 전송기","서울특별시 영등포구 선유로3길 10, 5층 514호 (문래동5가) 5층 514호",기기용 자동측정 및 제어장치 제조업 외 3 종
325,E.N.C치과기공소,김효식,치과 보철물,"서울특별시 영등포구 당산로 171, 5층 501호 (당산동4가, 금강 펜테리움 IT타워)",치과기공물 제조업 외 2 종
326,E.P.S섬유,성양환,"의류,쉐타",서울특별시 영등포구 가마산로90길 13-1 (신길동),편조의복 제조업
327,K.T.E(Korea.Technology.Exit),김용환,비상문자동개폐기,"서울특별시 영등포구 선유동2로 29, 현대2차아파트상가 비3호 (양평동3가)",그 외 기타 전자부품 제조업 외 1 종
328,MARKINS(마킨스),마병익,"볼헤드, 삼각대부품, 사진기부품","서울특별시 영등포구 선유로 146, 5층 506 (양평동3가, 이앤씨드림타워)",기타 광학기기 및 사진기 제조업
329,MYAD(마이애드),최기환,양식인쇄물,서울특별시 영등포구 영등포동4가 111번지,기타 인쇄업 외 1 종
330,R.T.R테크,천종철,"기계부품,반도체부품,금형,자동차부품",서울특별시 영등포구 경인로 748 (문래동1가),절삭가공 및 유사처리업 외 9 종
331,R플러스,장영민,재생토너,"서울특별시 영등포구 디지털로48가길 16 (대림동, 정인보습학원)",기타 주변기기 제조업
332,TK상사,이준우,사원증목걸이,"서울특별시 영등포구 양산로 43, 우림e-biz센터308호 (양평동3가)",스크린 인쇄업
333,Ub전기통신,이영재,"멀티큐브,멀티큐브셀","서울특별시 영등포구 당산로41길 11, 4층 416 (당산동4가)",유선 통신장비 제조업 외 1 종
334,YN(와이엔)프린팅,김재형,스티커(라벨),"서울특별시 영등포구 경인로82길 3-4, B2층 B207, 208호 (문래동1가, 센터플러스)",스크린 인쇄업 외 1 종
