순번,회사명,공장대표주소(도로명),업종명,데이터기준일자
128,정일사,서울특별시 종로구 수표로18가길 10 (관수동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 5 종,2025-07-09
129,젤라,"서울특별시 종로구 수표로22길 17, 대원빌딩 3층 (낙원동)",귀금속 및 관련제품 제조업,2025-07-09
130,종로강남한의원식품사업부 더쌍화,"서울특별시 종로구 종로 252-6, 지하1층,1층,2층 (종로5가)",건강보조용 액화식품 제조업,2025-07-09
131,종로자수,"서울특별시 종로구 종로36나길 10-1, 세희부빌딩 2층 (종로5가)",자수제품 및 자수용재료 제조업 외 1 종,2025-07-09
132,종합광고 종로사,서울특별시 종로구 관수동 76번지,간판 및 광고물 제조업 외 3 종,2025-07-09
133,종합광고 종로사 ,"서울특별시 종로구 종로 69, 4층 421호(종로2가, 서울 YMCA)",그 외 기타 분류 안된 금속 가공 제품 제조업,2025-07-09
134,주)셀비온,"서울특별시 종로구 대학로 103, 서울대학교병원 암연구소 6층 일부,산학혁렵관 (연건동)",완제 의약품 제조업 외 1 종,2025-07-09
135,주)인프라엔이,"서울특별시 종로구 자하문로 280, B1호, 청하빌딩 (부암동)",기타 주변기기 제조업,2025-07-09
136,주)파인뮤직,"서울특별시 종로구 삼일대로 428, 낙원빌딩, 4층 402호 (낙원동)",기타 음향기기 제조업 외 1 종,2025-07-09
137,주과장스포테리어 주식회사,"서울특별시 종로구 동순라길 122, 505호 (원남동, 월금빌딩)",일반용 전기 조명장치 제조업,2025-07-09
138,주식회사 고려전기,서울특별시 종로구 돈화문로 3(관수동),그 외 기타 전기장비 제조업,2025-07-09
139,주식회사 대호브리아노,"서울특별시 종로구 돈화문로9길 32, 4층(낙원동, 은전빌딩)",귀금속 및 관련제품 제조업,2025-07-09
140,주식회사 디쓰리디,"서울특별시 종로구 종로39길 22, 나동 5층(종로6가, 동원)",그 외 기타 봉제의복 제조업 외 5 종,2025-07-09
141,주식회사 로잉,"서울특별시 종로구 종로 373, 2층(숭인동, 삼광빌딩)",셔츠 및 블라우스 제조업 외 1 종,2025-07-09
142,주식회사 르본인터내셔널,"서울특별시 종로구 율곡로10길 27, 1층-2층 (권농동)",귀금속 및 관련제품 제조업,2025-07-09
143,주식회사 머니정,"서울특별시 종로구 종로36길 17, 1,2,3층(종로5가)",그 외 기타 분류 안된 금속 가공 제품 제조업 외 25 종,2025-07-09
144,주식회사 메디인테크,"서울특별시 종로구 대학로 60, 1층(연건동)",그 외 기타 의료용 기기 제조업,2025-07-09
145,주식회사 메디인테크,"서울특별시 종로구 율곡로 223, 2층~5층 (이화동)",그 외 기타 의료용 기기 제조업,2025-07-09
146,주식회사 범신사,"서울특별시 종로구 사직로10길 17, 102호(내자동, 인왕빌딩)",경 인쇄업,2025-07-09
147,주식회사 생성공간 여백,"서울특별시 종로구 돈화문로 98, 4층 (와룡동)",한복 제조업,2025-07-09
148,주식회사 셀투인,"서울특별시 종로구 율곡로 190, 14층(연지동, 여전도회관)",생물학적 제제 제조업,2025-07-09
149,주식회사 예스라이팅,"서울특별시 종로구 창경궁로18길 11, 2층(원남동, 청아장)",일반용 전기 조명장치 제조업,2025-07-09
150,주식회사 이케이텍,"서울특별시 종로구 청계천로 187-11, 5층(예지동) 외 1필지",남자용 겉옷 제조업 외 1 종,2025-07-09
151,주식회사 제메이스,"서울특별시 종로구 창경궁로21길 17-6, 창곡빌딩 2층 (원남동)",귀금속 및 관련제품 제조업,2025-07-09
152,주식회사 지금이야,"서울특별시 종로구 돈화문로10길 23, 1층(봉익동, 곡천빌딩)",귀금속 및 관련제품 제조업,2025-07-09
153,주식회사 칼라세븐,"서울특별시 종로구 사직로12길 25-3, 지하층(내자동, 희명빌딩)",그 외 기타 의료용 기기 제조업,2025-07-09
154,주식회사 코리아에어로텍,"서울특별시 종로구 송월길 159, 지하1층 비1호(교북동, 부귀빌딩)",기타 운동 및 경기용구 제조업 외 1 종,2025-07-09
155,주식회사 프리,"서울특별시 종로구 창경궁로16가길 10, 2층(연지동, 재선빌딩)",일반용 전기 조명장치 제조업,2025-07-09
156,주식회사재인,"서울특별시 종로구 종로 325-5, 1층(창신동, 세화빌딩)","근무복, 작업복 및 유사의복 제조업",2025-07-09
157,중앙인쇄사,서울특별시 종로구 자하문로2길 18 (적선동),기타 인쇄업 외 1 종,2025-07-09
158,중앙조명,"서울특별시 종로구 동순라길 122, 203호 (원남동)",일반용 전기 조명장치 제조업,2025-07-09
159,진도조명,"서울특별시 종로구 창경궁로16길 6-9, 2층 (연지동)",일반용 전기 조명장치 제조업,2025-07-09
160,진도콜렉션(주),"서울특별시 종로구 종로66길 17, 2층 (숭인동, 신안빌딩)",핸드백 및 지갑 제조업 외 1 종,2025-07-09
161,코바,"서울특별시 종로구 창경궁로16길 10 (연지동, 준성빌딩) 403",귀금속 및 관련제품 제조업,2025-07-09
