,허가번호,경도,위도
5248,322014110005528,126.981231,37.55555
5249,322014110006874,126.979975,37.556789
5250,322014110006875,126.981722,37.556942
5260,322014110030791,126.985936,37.560897
5285,322014110066058,126.983839,37.560942
5304,322015110000939,126.982953,37.560367
5307,322015110003451,126.983053,37.559811
5308,322015110003664,126.980572,37.559086
5315,322015110018841,126.989042,37.558908
5316,322015110018857,126.984508,37.561067
5317,322015110018900,126.985342,37.561253
5318,322015110021125,126.985156,37.562494
5324,322015110033566,126.981542,37.559292
5326,322015110035097,126.981169,37.560928
5336,322015110057669,126.982003,37.561964
5337,322015110058002,126.982503,37.560967
5338,322015110058253,126.981169,37.560928
5349,322015110071682,126.981578,37.560789
5351,322015110077587,126.985836,37.559006
5352,322015110077589,126.982378,37.556147
5362,322015110083305,126.985469,37.556786
5363,322016110005749,126.986958,37.561358
5371,322016110026806,126.985469,37.556786
5373,322016110030747,126.979844,37.559203
5374,322016110033680,126.987333,37.557089
5375,322016110033705,126.983617,37.557489
5376,322016110034101,126.984853,37.560547
5377,322016110034107,126.99025,37.559078
5378,322016110034121,126.981678,37.557158
5379,322016110035420,126.985842,37.558975
5380,322016110036350,126.986769,37.561897
5381,322016110037392,126.9841,37.561264
5382,322016110037738,126.984092,37.56245
5383,322016110037740,126.986769,37.561897
5384,322016110037852,126.982167,37.560839
5385,322016110041292,126.986981,37.558861
5386,322016110042083,126.983767,37.560136
5387,322016110042704,126.984089,37.562539
5388,322016110043598,126.984103,37.561222
5389,322016110043599,126.981983,37.561044
5390,322016110044800,126.984106,37.562406
5391,322016110044802,126.984106,37.562406
5392,322016110044803,126.984092,37.56245
5393,322016110044816,126.982167,37.560839
5397,322016110046460,126.984103,37.561222
5402,322016110047706,126.985114,37.56055
5403,322016110047711,126.984103,37.561222
5404,322016110047712,126.984103,37.561222
5414,322016110054241,126.979847,37.559197
5415,322016110055997,126.987456,37.56065
5435,322016110078002,126.980967,37.560911
5436,322016110078003,126.980967,37.560911
5437,322016110078004,126.980967,37.560911
5438,322016110078005,126.980967,37.560911
5439,322016110078006,126.980967,37.560911
5440,322016110078007,126.980967,37.560911
5441,322016110078008,126.980967,37.560911
5442,322016110078009,126.980967,37.560911
5443,322016110078010,126.980967,37.560911
5444,322016110078081,126.982544,37.560942
5445,322016110078082,126.987233,37.561353
5446,322016110080425,126.985722,37.560833
5447,322016110080426,126.985722,37.560833
5448,322016110080427,126.985722,37.560833
5449,322016110080428,126.985722,37.560833
5450,322016110080429,126.985722,37.560833
5451,322016110080430,126.985722,37.560833
5452,322016110080431,126.985722,37.560833
5453,322016110080432,126.985722,37.560833
5454,322016110080433,126.985722,37.560833
5462,322017110008052,126.985983,37.560611
5463,322017110008053,126.985983,37.560611
5466,322017110014666,126.980117,37.556758
5467,322017110016076,126.981294,37.555628
5483,322017110056625,126.984853,37.560547
5485,322017110062235,126.986786,37.561864
5506,322018110012296,126.979847,37.559197
5508,322018110013775,126.987003,37.558861
5511,322018110020344,126.981733,37.559428
5512,322018110020345,126.981733,37.559428
5513,322018110020346,126.981733,37.559428
5514,322018110020347,126.981733,37.559428
5515,322018110020348,126.981733,37.559428
5516,322018110020349,126.981733,37.559428
5521,322018110021574,126.99025,37.559078
5525,322018110036384,126.985156,37.562522
5530,322018110046430,126.980981,37.560919
5531,322018110046431,126.980981,37.560919
5532,322018110046432,126.980758,37.56035
5533,322018110046433,126.980981,37.560919
5534,322018110046434,126.980981,37.560919
5554,322018110060817,126.985469,37.556786
5561,322018110068646,126.985156,37.562522
5569,322019110003616,126.982786,37.556244
5638,322020110039728,126.984961,37.5606
5686,322022110004621,126.981081,37.558389
5689,322022110006441,126.980758,37.56035
5710,322022110022504,126.981081,37.558389
5768,322023110022348,126.985342,37.561253
5805,322023110030806,126.987458,37.557847
5806,322023110030807,126.987458,37.557847
5807,322023110030808,126.986172,37.557667
5812,322023110031651,126.987458,37.557847
5819,322023110036137,126.982628,37.56095
5825,322024110003379,126.982047,37.560397
5835,322024110015784,126.981994,37.561064
5836,322024110020374,126.985689,37.561456
5854,322025110004972,126.980758,37.56035
5859,322025110008848,126.983617,37.557489
6023,322014110005216,127.000014,37.561017
6024,322014110005304,126.991267,37.560069
6025,322014110006822,126.992956,37.556417
6026,322014110006843,126.999417,37.559644
6027,322014110006844,126.998406,37.558589
6028,322014110006845,126.998406,37.558589
6029,322014110006846,127.000639,37.559006
6030,322014110006860,126.991631,37.562372
